Drug Reaction,stop irritation,Stay hydrated,stop taking drug,follow up,common medications may include antihistamines or corticosteroids,"Alongside a diet plan emphasizing anti-inflammatory foods like fruits, vegetables, whole grains, lean proteins, and healthy fats, while avoiding potential trigger foods such as processed foods, high-sugar items, and common allergens like dairy or gluten"
Malaria,Stay hydrated,avoid oily food,avoid non veg food,keep mosquitos out,"Antimalarial medications (e.g., chloroquine, quinine, artemisinin-based combination therapies)","Consume plenty of fluids and electrolytes; eat light, easily digestible foods"
Allergy,apply calamine,cover area with bandage,Stay hydrated,use ice to compress itching,"Antihistamines (e.g., cetirizine, loratadine); Corticosteroids","Avoid known allergens; maintain a healthy, balanced diet"
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,"Thyroid hormone replacement therapy (e.g., levothyroxine)","Include iodine-rich foods (e.g., iodized salt, seafood); limit goitrogenic foods (e.g., soy, cabbage)"
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,,salt baths,"Topical corticosteroids, vitamin D analogs; Oral medications (e.g., methotrexate, biologic agents)","Maintain a healthy weight; avoid trigger foods (e.g., red meat, processed foods)"
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,common medications may include proton pump inhibitors or H2 blockers,"Alongside a diet plan focused on avoiding trigger foods such as spicy, fatty, acidic, or caffeinated items, while incorporating more lean proteins, fruits, vegetables, and whole grains to alleviate symptoms and promote digestive health."
Chronic cholestasis,cold baths,anti itch medicine,,eat healthy,Ursodeoxycholic acid,Consume a low-fat diet; avoid alcohol and fatty foods
hepatitis A,Stay hydrated,wash hands through,avoid fatty spicy food,medication,Common medications include antiviral drugs like ribavirin,"Alongside a diet plan emphasizing hydration, easily digestible foods such as fruits, vegetables, lean proteins, and whole grains, while avoiding alcohol and fatty, processed foods to support liver function and recovery."
Osteoarthristis,Regular exercise tailored to your abilities and physical therapy,Stay hydrated,follow up,salt baths,Common medications may include anti-nausea drugs like ondansetron or meclizine,"Additionally, a diet plan rich in anti-inflammatory foods such as fatty fish (salmon, mackerel), fruits and vegetables (berries, leafy greens), whole grains, nuts, and seeds can help manage symptoms and promote joint health. Avoiding processed foods, sugary snacks, and excessive red meat consumption is also advisable."
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,commonly prescribed medications may include antihistamines such as meclizine or dimenhydrinate,"alongside a diet plan emphasizing hydration, low-sodium foods, and avoidance of triggers like caffeine and alcohol. Additionally, incorporating balance-promoting foods rich in vitamins B and D, such as leafy greens, nuts, seeds, and fatty fish, can complement treatment efforts for managing vertigo symptoms effectively"
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,,"Fast-acting carbohydrates (e.g., glucose tablets, fruit juice)",Eat regular meals/snacks; focus on complex carbohydrates and protein
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Topical treatments (e.g., benzoyl peroxide, retinoids), Oral antibiotics, Hormonal therapy (e.g., oral contraceptives)","Avoid high-glycemic index foods (e.g., sugary snacks, refined carbohydrates); consume foods rich in antioxidants (e.g., fruits, vegetables)"
Diabetes ,have balanced diet,exercise,Stay hydrated,follow up,"common medications such as metformin, insulin, or sulfonylureas","Balanced diet plan rich in whole grains, lean proteins, fruits, vegetables, and low-fat dairy, while limiting refined sugars, saturated fats, and processed foods to help regulate blood sugar levels effectively."
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,,"Topical or oral antibiotics (e.g., mupirocin, cephalexin)",Practice good hygiene; avoid sharing personal items
Hypertension ,"Commonly prescribed medications such as ACE inhibitors, beta-blockers, calcium channel blockers",salt baths,reduce stress,get proper sleep,"diet rich in fruits, vegetables, whole grains, lean proteins, and low-fat dairy while reducing sodium, saturated fats, cholesterol, and refined sugars intake.","Additionally, emphasize potassium-rich foods like bananas, oranges, spinach, and sweet potatoes to further support blood pressure control. Regular monitoring and consultation with your healthcare provider"
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"Common medications may include proton pump inhibitors or H2-receptor antagonists to reduce stomach acid production, along with antacids for symptom relief.","Additionally, a diet plan should focus on avoiding spicy foods, caffeine, alcohol, and acidic foods like citrus fruits, while emphasizing the consumption of fiber-rich foods, lean proteins, whole grains, and plenty of water to promote healing and minimize irritation to the stomach lining."
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,"common medications may include topical creams containing hydrocortisone or lidocaine for symptom relief, along with oral pain relievers like ibuprofen","A diet plan rich in fiber from fruits, vegetables, whole grains, and legumes can help soften stools and ease bowel movements, while also drinking plenty of water to stay hydrated. Additionally, avoiding spicy foods, caffeine, and alcohol can help reduce irritation and inflammation in the anal area."
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"Over-the-counter medications (e.g., decongestants, antihistamines, pain relievers)","Stay hydrated; consume immune-boosting foods (e.g., chicken soup, citrus fruits)"
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,commonly prescribed medications may include antiviral drugs like acyclovir or valacyclovir to reduce the severity and duration of symptoms,"Additionally, it's crucial to maintain proper hydration and consume a well-balanced diet rich in immune-boosting nutrients such as vitamin C (found in citrus fruits, strawberries, and bell peppers), vitamin A (found in carrots, sweet potatoes, and leafy greens), and zinc (found in lean meats, nuts, and seeds). Avoiding spicy, acidic, and hard-to-digest foods can help prevent irritation to oral lesions, while opting for soft, soothing foods like soups, yogurt, and mashed fruits can aid in comfort and recovery"
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,Stay hydrated,"Pain management (e.g., NSAIDs, muscle relaxants), Physical therapy","Maintain a healthy weight; consume anti-inflammatory foods (e.g., fatty fish, nuts)"
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Antithyroid medications (e.g., methimazole), Radioactive iodine therapy","Avoid iodine-rich foods (e.g., seaweed, iodized salt)"
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"Antibiotics (e.g., trimethoprim-sulfamethoxazole, nitrofurantoin, ciprofloxacin)",Drink plenty of fluids; consume cranberry juice or supplements
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"Compression stockings, Lifestyle modifications (exercise, leg elevation), Procedures (e.g., sclerotherapy, laser therapy)",Avoid prolonged standing or sitting; include fiber-rich foods in your diet
AIDS,avoid open cuts,wear ppe if possible,Stay hydrated,follow up,Antiretroviral therapy (ART),Consume a well-balanced diet; maintain adequate hydration
Paralysis (brain hemorrhage),massage,eat healthy,exercise,Stay hydrated,"Rehabilitation therapy, Medications to prevent complications (e.g., blood clots, seizures)",Follow a nutritious diet; avoid alcohol and tobacco
Typhoid,eat high calorie vegitables,antiboitic therapy,Stay hydrated,medication,"Antibiotics (e.g., ciprofloxacin, azithromycin)",Drink boiled or bottled water; avoid raw fruits and vegetables
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,common medications include antiviral drugs such as tenofovir or entecavir,"along with a diet plan emphasizing plenty of fruits, vegetables, whole grains, lean proteins, and healthy fats, while avoiding alcohol and processed foods to support liver health and minimize inflammation."
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Antifungal medications (e.g., fluconazole, clotrimazole, terbinafine)",Practice good hygiene; keep affected areas clean and dry
Hepatitis C,Stay hydrated,vaccination,eat healthy,medication,common medications such as direct-acting antivirals (DAAs),"alongside a diet plan emphasizing whole grains, lean proteins, fruits, vegetables, and limited processed foods, alcohol, and fatty foods to support liver health and overall well-being"
Migraine,meditation,reduce stress,use poloroid glasses in sun,,"Pain relief (e.g., triptans, NSAIDs), Preventive medications (e.g., beta-blockers, antidepressants)","Identify and avoid trigger foods (e.g., aged cheese, chocolate, caffeine); maintain regular meal times"
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,"Bronchodilators (e.g., albuterol), Corticosteroids","Identify and avoid trigger foods (e.g., sulfites, food additives); consume anti-inflammatory foods (e.g., fruits, vegetables)"
Alcoholic hepatitis,stop alcohol consumption,,medication,follow up,"Abstinence from alcohol, Supportive care, Medications to reduce liver inflammation",Follow a well-balanced diet; avoid alcohol and fatty foods
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"Supportive care, Medications to promote bile flow","Limit fat intake; consume small, frequent meals"
Hepatitis E,stop alcohol consumption,rest,Stay hydrated,medication,"common medications may include antiviral drugs such as ribavirin, along with supportive care to manage symptoms.","Additionally, a diet plan should focus on avoiding alcohol and fatty foods, while emphasizing hydration with plenty of water and consumption of easily digestible foods like fruits, vegetables, lean proteins, and whole grains to support liver health and overall well-being."
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"Supportive care, Hydration therapy","Stay hydrated; consume soft, bland foods"
Hepatitis D,Stay hydrated,medication,eat healthy,follow up,ommon medications may include antiviral drugs such as interferon-alpha or pegylated interferon,"along with a diet plan emphasizing foods that are easily digestible, low in fat, and rich in nutrients such as fruits, vegetables, lean proteins, whole grains, and healthy fats like those found in nuts and seeds. Additionally, it's crucial to avoid alcohol and limit sodium intake, while consulting with a healthcare provider or registered dietitian for personalized dietary recommendations based on individual health needs and treatment protocols."
Heart attack,call ambulance,chew or swallow asprin,keep calm,,"Immediate medical attention, Medications (e.g., aspirin, clot-busting drugs, beta-blockers, ACE inhibitors, statins), Lifestyle modifications (e.g., heart-healthy diet, exercise)","Follow a heart-healthy diet (e.g., low in saturated fats, cholesterol, and sodium); maintain a healthy weight"
Pneumonia,Stay hydrated,medication,rest,follow up,"Antibiotics, Oxygen therapy, Supportive care",Stay hydrated; consume a nutrient-rich diet
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,"Pain relief (e.g., NSAIDs, corticosteroids, analgesics), Disease-modifying antirheumatic drugs (DMARDs), Biologic agents","Maintain a healthy weight; consume anti-inflammatory foods (e.g., fatty fish, nuts)"
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Fluids, Electrolyte replacement, Antidiarrheal medications","Start with clear liquids and gradually progress to bland foods (e.g., rice, bananas)"
Tuberculosis,cover mouth,Stay hydrated,medication,rest,"Combination antibiotics (e.g., isoniazid, rifampin, ethambutol, pyrazinamide)","Follow a nutritious, high-calorie diet; take medications as prescribed"
